64.87	0.19	0.26	^
64.89	0.21	0.25	^
64.91	0.23	0.23	^
64.93	0.25	0.21	^
64.95	0.26	0.19	^
64.97	0.28	0.17	^
64.99	0.29	0.15	^
65.01	0.3	0.13	^
65.03	0.31	0.1	^
65.05	0.32	0.08	^
65.07	^	0.05	^
65.09	0.33	0.03	^
65.11	^	0.0	^
65.13	^	-0.01	^
65.15	^	-0.04	^
65.17	0.32	-0.06	^
65.19	0.31	-0.09	^
65.21	^	-0.11	^
65.23	0.3	-0.14	^
65.25	0.28	-0.16	^
65.27	0.27	-0.18	^
65.29	0.25	-0.2	^
65.31	0.24	-0.22	^
65.33	0.22	-0.24	^
65.35	0.2	-0.26	^
65.37	0.18	-0.27	^
65.39	0.16	-0.29	^
65.41	0.13	-0.3	^
65.43	0.11	-0.31	^
65.45	0.09	-0.32	^
65.47	0.06	^	^
65.49	0.04	-0.33	^
65.51	0.01	^	^
65.53	-0.01	^	^
65.55	-0.03	^	^
65.57	-0.06	-0.32	^
65.59	-0.08	^	^
65.61	-0.11	-0.31	^
65.63	-0.13	-0.3	^
65.65	-0.16	-0.29	^
65.67	-0.18	-0.27	^
65.69	-0.2	-0.26	^
65.71	-0.22	-0.24	^
65.73	-0.24	-0.22	^
65.75	-0.25	-0.21	^
65.77	-0.27	-0.19	^
65.79	-0.28	-0.16	^
65.81	-0.29	-0.14	^
65.83	-0.3	-0.12	^
65.85	-0.31	-0.1	^
65.87	-0.32	-0.07	^
65.89	^	-0.05	^
65.91	-0.33	-0.02	^
65.93	^	0.0	^
65.95	^	0.02	^
65.97	-0.32	0.05	^
65.99	^	0.08	^
66.01	-0.31	0.1	^
66.03	-0.3	0.12	^
66.05	-0.29	0.15	^
66.07	-0.28	0.17	^
66.09	-0.27	0.19	^
66.11	-0.25	0.21	^
66.13	-0.23	0.23	^
66.15	-0.22	0.25	^
66.17	-0.2	0.26	^
66.19	-0.17	0.28	^
66.21	-0.15	0.29	^
66.23	-0.13	0.3	^
66.25	-0.1	0.31	^
66.27	-0.08	0.32	^
66.29	-0.05	^	^
66.31	-0.03	0.33	^
66.33	0.0	^	^
66.35	0.01	^	^
66.38	0.04	^	^
66.4	0.07	0.32	^
66.42	0.09	0.31	^
66.44	0.12	^	^
66.46	0.14	0.3	^
66.48	0.16	0.28	^
66.5	0.18	0.27	^
66.52	0.2	0.25	^
66.53	0.22	0.24	^
66.56	0.24	0.22	^
66.57	0.26	0.2	^
66.59	0.27	0.18	^
66.61	0.29	0.16	^
66.63	0.3	0.13	^
66.65	0.31	0.11	^
66.67	0.32	0.09	^
66.69	^	0.06	^
66.71	0.33	0.04	^
66.73	^	0.01	^
66.75	^	0.0	^
66.77	^	-0.03	^
66.79	0.32	-0.05	^
66.81	^	-0.08	^
66.83	0.31	-0.1	^
66.85	0.3	-0.13	^
66.87	0.29	-0.15	^
66.89	0.28	-0.17	^
66.91	0.26	-0.19	^
66.93	0.25	-0.21	^
66.95	0.23	-0.23	^
66.97	0.21	-0.25	^
66.99	0.19	-0.27	^
67.01	0.17	-0.28	^
67.03	0.15	-0.29	^
67.05	0.12	-0.3	^
67.07	0.1	-0.31	^
67.09	0.08	-0.32	^
67.11	0.05	^	^
67.13	0.03	-0.33	^
67.15	0.0	^	^
67.17	-0.02	^	^
67.19	-0.04	^	^
67.21	-0.07	-0.32	^
67.23	-0.09	-0.31	^
67.25	-0.12	^	^
67.27	-0.14	-0.3	^
67.29	-0.16	-0.28	^
